strategy,alpha,train_frac,n_samples,max_vocab,k,min_freq,acc_mean,acc_std
A2_fixed_train_vary_vocab,0.0,1.0,1564302,5000,5,2,0.7591302700733868,0.000774030819484032
A2_fixed_train_vary_vocab,0.0,1.0,1564302,10000,5,2,0.7621367228165314,0.0006969704503210594
A2_fixed_train_vary_vocab,0.0,1.0,1564302,20000,5,2,0.7641446471694978,0.0007323859789118493
A2_fixed_train_vary_vocab,0.0,1.0,1564302,50000,5,2,0.765008930191929,0.00112895255600384
A2_fixed_train_vary_vocab,0.0,1.0,1564302,100000,5,2,0.7630591788706796,0.0008657450512448234
A2_fixed_train_vary_vocab,0.1,1.0,1564302,5000,5,2,0.7591251559791429,0.0007728919194806368
A2_fixed_train_vary_vocab,0.1,1.0,1564302,10000,5,2,0.7621546221596667,0.0007031994231139098
A2_fixed_train_vary_vocab,0.1,1.0,1564302,20000,5,2,0.7641695784118852,0.0007460028697389844
A2_fixed_train_vary_vocab,0.1,1.0,1564302,50000,5,2,0.7653068266306519,0.0011074695305512544
A2_fixed_train_vary_vocab,0.1,1.0,1564302,100000,5,2,0.7642654676263451,0.000934542169752399
A2_fixed_train_vary_vocab,0.5,1.0,1564302,5000,5,2,0.7591181240717179,0.0007883721873221312
A2_fixed_train_vary_vocab,0.5,1.0,1564302,10000,5,2,0.7621795533959241,0.0006973939640153999
A2_fixed_train_vary_vocab,0.5,1.0,1564302,20000,5,2,0.7642795315842253,0.0007609637644446143
A2_fixed_train_vary_vocab,0.5,1.0,1564302,50000,5,2,0.7658744920255132,0.0010831149163609054
A2_fixed_train_vary_vocab,0.5,1.0,1564302,100000,5,2,0.7660253579436319,0.0008918766632034179
A2_fixed_train_vary_vocab,1.0,1.0,1564302,5000,5,2,0.7591085351141056,0.000792621422313415
A2_fixed_train_vary_vocab,1.0,1.0,1564302,10000,5,2,0.7621897816232345,0.000675753039400587
A2_fixed_train_vary_vocab,1.0,1.0,1564302,20000,5,2,0.7644029093282803,0.0008135640607349985
A2_fixed_train_vary_vocab,1.0,1.0,1564302,50000,5,2,0.7663258115673984,0.0010588614112536762
A2_fixed_train_vary_vocab,1.0,1.0,1564302,100000,5,2,0.7670584065276798,0.0009456993616305824
A2_fixed_train_vary_vocab,2.0,1.0,1564302,5000,5,2,0.7591130099161754,0.000788612470713874
A2_fixed_train_vary_vocab,2.0,1.0,1564302,10000,5,2,0.762221105525825,0.0006774615325933499
A2_fixed_train_vary_vocab,2.0,1.0,1564302,20000,5,2,0.7645544144793183,0.0007928607153275488
A2_fixed_train_vary_vocab,2.0,1.0,1564302,50000,5,2,0.7666531141384393,0.0010150815321830636
A2_fixed_train_vary_vocab,2.0,1.0,1564302,100000,5,2,0.7677769379509971,0.000988292932264689
